                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7807,                 3.2897,                 4.2452,                0.00333,                      1,                0.03864,                0.00901,                 3.0199,                 3.6965,                 4.1594,                0.00012,                0.00012,                0.00012
                      2,                  2.976,                 3.1347,                 4.2315,                0.00333,                      1,                0.09677,                0.01411,                 3.0211,                 3.6917,                 4.1583,             0.00025871,             0.00025871,             0.00025871
                      3,                 2.8775,                 3.1662,                 4.1559,                0.00333,                      1,                0.08727,                0.01514,                 3.0322,                 3.6867,                  4.157,             0.00039604,             0.00039604,             0.00039604
                      4,                 2.9917,                 3.1165,                 4.1373,                0.00333,                      1,                0.05888,                0.01068,                 3.0455,                 3.6917,                 4.1548,             0.00053198,             0.00053198,             0.00053198
                      5,                 3.0144,                 3.0814,                  4.107,                0.00333,                      1,                0.09249,                0.01544,                 3.0702,                 3.6806,                 4.1496,             0.00066654,             0.00066654,             0.00066654
                      6,                 2.9735,                 3.1139,                  3.998,                0.00333,                      1,                  0.099,                0.01502,                 3.0981,                 3.6633,                 4.1517,             0.00079971,             0.00079971,             0.00079971
                      7,                 3.1171,                 3.0746,                 4.0507,                0.00333,                      1,                0.24859,                0.03258,                 3.1519,                 3.7161,                 4.1585,             0.00093149,             0.00093149,             0.00093149
                      8,                 3.0617,                 3.0372,                  3.948,                0.00333,                      1,                0.17298,                0.02127,                 3.1514,                  3.744,                 4.1192,              0.0010619,              0.0010619,              0.0010619
                      9,                 2.9949,                 3.1696,                 3.9723,                0.00959,                0.41237,                0.07623,                0.01156,                 3.7665,                 62.542,                 8.3613,              0.0011909,              0.0011909,              0.0011909
                     10,                 2.8563,                  3.158,                 3.9072,                0.00877,                0.34021,                0.02846,                0.00555,                 3.8485,                 12.148,                 10.238,              0.0013185,              0.0013185,              0.0013185
                     11,                 2.8409,                 2.9973,                 3.8219,                0.00365,                0.30928,                0.01062,                 0.0025,                 3.8079,                 6.2125,                 8.6794,              0.0014448,              0.0014448,              0.0014448
                     12,                 2.7151,                 2.9325,                 3.6571,                0.00724,                0.26804,                0.00568,                0.00143,                 4.0198,                 11.943,                 11.708,              0.0015696,              0.0015696,              0.0015696
                     13,                 2.7608,                 2.9987,                 3.6366,                 0.0063,                0.26804,                0.00796,                0.00178,                 4.0396,                 8.2689,                  9.828,              0.0016931,              0.0016931,              0.0016931
                     14,                 2.6947,                 2.9338,                 3.4785,                0.01174,                0.95876,                0.06605,                0.02173,                 2.9214,                  3.625,                  4.269,              0.0018152,              0.0018152,              0.0018152
                     15,                 2.7429,                  2.921,                  3.379,                0.01936,                0.94845,                0.03471,                0.01071,                 2.5084,                 3.6386,                 3.9779,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.6223,                 2.9284,                 3.4413,                0.01642,                0.03093,                0.02626,                0.00509,                 2.9757,                 3.7124,                 4.1877,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.5103,                 2.9736,                 3.3602,                0.23663,                0.03093,                0.03763,                0.00677,                 2.7678,                 3.5621,                 4.0515,              0.0018515,              0.0018515,              0.0018515
                     18,                 2.6566,                  2.952,                 3.1257,                0.23276,                0.06186,                0.05958,                0.00722,                 3.0532,                   4.22,                 4.3214,              0.0018416,              0.0018416,              0.0018416
                     19,                 2.5343,                 2.9972,                 3.3172,                0.40492,                 0.3299,                0.29312,                 0.0698,                 2.4904,                 3.8015,                 3.8672,              0.0018317,              0.0018317,              0.0018317
                     20,                 2.4608,                 2.8557,                 3.1757,                 0.4389,                0.42268,                 0.3617,                 0.1061,                 2.5558,                 3.9443,                 3.9503,              0.0018218,              0.0018218,              0.0018218
                     21,                 2.6483,                 2.9361,                 3.1962,                0.51469,                0.51389,                0.45006,                  0.156,                 2.5094,                 3.9909,                 3.7988,              0.0018119,              0.0018119,              0.0018119
                     22,                  2.569,                 2.9095,                 3.1554,                0.28385,                0.14433,                0.14016,                0.03658,                 2.3887,                 3.4245,                 3.6611,               0.001802,               0.001802,               0.001802
                     23,                 2.3178,                 2.8264,                  3.059,                 0.3308,                0.31959,                0.28545,                0.09813,                 2.1282,                 3.2069,                 3.4305,              0.0017921,              0.0017921,              0.0017921
                     24,                 2.6097,                 3.0137,                 3.1871,                0.31662,                0.52577,                0.32874,                0.10444,                 2.0226,                 2.9818,                 3.1955,              0.0017822,              0.0017822,              0.0017822
                     25,                 2.4094,                 2.8377,                 3.0501,                0.19842,                0.37113,                0.21495,                0.06942,                 2.0575,                 2.9919,                  3.247,              0.0017723,              0.0017723,              0.0017723
                     26,                  2.343,                 2.9213,                 3.1242,                0.16355,                0.40206,                0.20781,                0.09794,                 1.5833,                 3.3419,                 2.6961,              0.0017624,              0.0017624,              0.0017624
                     27,                 2.4141,                 2.7952,                 2.9805,                0.26014,                0.61856,                 0.3485,                0.16855,                 1.5497,                 6.2937,                 2.6286,              0.0017525,              0.0017525,              0.0017525
                     28,                 2.2865,                 2.7837,                 2.9073,                0.40399,                0.69072,                0.40515,                0.20408,                 1.5508,                  4.851,                 2.7228,              0.0017426,              0.0017426,              0.0017426
                     29,                 2.2965,                 2.7814,                 2.9458,                0.26304,                0.63918,                0.26458,                0.12957,                  1.553,                 4.3972,                 2.7887,              0.0017327,              0.0017327,              0.0017327
                     30,                 2.3324,                 2.7528,                 2.9444,                0.42543,                0.31959,                0.31068,                0.15691,                  1.788,                 3.6743,                 3.0739,              0.0017228,              0.0017228,              0.0017228
                     31,                 2.2901,                 2.7355,                 2.9339,                0.36268,                 0.3299,                0.29347,                0.13195,                 2.0678,                 3.2405,                 3.4615,              0.0017129,              0.0017129,              0.0017129
                     32,                 2.4101,                 2.8068,                 2.9851,                0.36046,                0.62887,                0.42824,                0.25261,                 1.9233,                 3.4506,                 3.3974,               0.001703,               0.001703,               0.001703
                     33,                 2.2248,                 2.5934,                 2.8246,                0.30082,                0.74227,                0.33927,                0.20723,                 1.9033,                 3.1113,                 3.2477,              0.0016931,              0.0016931,              0.0016931
                     34,                 2.4602,                 2.7887,                  2.929,                0.25956,                0.80412,                 0.2866,                0.14948,                 1.7455,                 2.6828,                 2.7006,              0.0016832,              0.0016832,              0.0016832
                     35,                 2.2643,                 2.7727,                 2.8957,                0.24142,                0.74227,                0.27422,                0.14328,                  1.842,                 2.4927,                 2.8357,              0.0016733,              0.0016733,              0.0016733
                     36,                 2.2889,                 2.6501,                 2.7631,                0.09287,                0.12371,                0.07421,                0.02867,                  2.182,                 3.0753,                 3.6942,              0.0016634,              0.0016634,              0.0016634
                     37,                 2.2468,                 2.6662,                 2.8902,                0.13553,                0.27835,                0.14062,                0.05843,                 2.0562,                  2.813,                  3.409,              0.0016535,              0.0016535,              0.0016535
                     38,                 2.0834,                 2.7692,                 2.7166,                0.34261,                0.41237,                0.29647,                0.11881,                 2.2097,                 3.0244,                 3.2042,              0.0016436,              0.0016436,              0.0016436
                     39,                 2.1184,                 2.6083,                 2.7552,                0.22361,                0.41237,                0.18577,                0.07863,                 2.3077,                 3.1026,                 3.4518,              0.0016337,              0.0016337,              0.0016337
                     40,                 2.0971,                 2.6407,                  2.817,                0.44828,                0.47423,                0.38339,                0.21345,                 1.6146,                 2.9023,                 2.6542,              0.0016238,              0.0016238,              0.0016238
                     41,                 2.2174,                 2.5443,                 2.7417,                0.60398,                0.53608,                0.51989,                0.31088,                 1.4486,                  3.014,                  2.411,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.9892,                 2.4952,                 2.6643,                0.55716,                0.60825,                0.56086,                 0.3082,                 1.5834,                 3.8733,                 2.4653,               0.001604,               0.001604,               0.001604
                     43,                 2.0991,                 2.4947,                 2.7594,                0.30405,                0.17526,                0.12144,                0.04815,                 2.0612,                 5.5847,                 3.1994,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.8817,                 2.4177,                 2.6079,                 0.3402,                0.46246,                0.23037,                0.11084,                  2.066,                 3.4756,                 3.1142,              0.0015842,              0.0015842,              0.0015842
                     45,                 2.0832,                 2.4501,                 2.6797,                0.43836,                 0.4433,                0.36537,                  0.173,                 2.0953,                 3.0863,                 2.8865,              0.0015743,              0.0015743,              0.0015743
                     46,                  2.074,                 2.4083,                 2.6627,                0.25447,                0.57732,                0.20142,                0.07829,                 2.1492,                 2.9427,                  2.929,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.9705,                 2.4241,                 2.6408,                0.32206,                0.24742,                0.28336,                 0.1298,                 2.0445,                 2.9865,                 3.0182,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.9387,                 2.3169,                 2.5646,                0.19466,                 0.2268,                0.14422,                0.07147,                 2.1973,                 3.2328,                 3.1961,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.8482,                 2.2267,                  2.579,                0.31252,                0.21649,                0.19533,                0.10846,                 2.1845,                 3.2433,                 3.0962,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.8679,                 2.3405,                 2.6363,                 0.4339,                0.34021,                0.39866,                 0.2451,                 2.2101,                 3.2569,                 3.0236,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.8421,                 2.2433,                 2.5094,                0.46822,                0.57732,                0.42893,                0.26413,                 1.4686,                 3.1327,                 2.4213,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.8699,                 2.1683,                 2.5278,                0.30616,                0.51546,                0.37469,                0.20997,                 1.7096,                 3.0416,                  2.616,               0.001505,               0.001505,               0.001505
                     53,                 1.9251,                  2.235,                 2.5333,                 0.2678,                0.23711,                0.25408,                0.13104,                 1.8473,                 3.2022,                 2.7517,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.8785,                 2.0823,                 2.4668,                0.32101,                0.66287,                0.35274,                0.16051,                 1.8181,                 2.8237,                  2.595,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.7471,                 2.1454,                 2.3957,                0.59223,                0.70103,                 0.5306,                0.29487,                 1.4347,                 2.6461,                 2.2315,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.7573,                 2.0685,                 2.3685,                 0.8652,                0.66171,                 0.7954,                0.51302,                 1.3659,                 2.1448,                 2.2175,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.7518,                 2.0747,                 2.3058,                0.82178,                0.71309,                0.83048,                0.53336,                  1.359,                 2.0287,                 2.1868,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.6623,                 1.8957,                 2.3506,                0.88521,                0.75258,                0.84725,                0.49383,                   1.48,                 2.1423,                 2.2277,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.6497,                  1.917,                 2.2889,                0.78081,                0.77123,                0.82159,                0.36594,                 1.7879,                 2.3321,                 2.4681,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.6341,                 1.9149,                 2.3112,                0.82781,                0.81443,                 0.8155,                0.41733,                 1.5786,                 2.3105,                 2.2763,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.7702,                 2.0253,                 2.3554,                0.81353,                0.80962,                0.82576,                0.46859,                 1.3715,                 2.1427,                  2.094,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.5919,                 2.0407,                 2.2798,                0.85605,                0.79701,                0.86528,                0.53488,                 1.2552,                 1.9636,                 2.0117,               0.001406,               0.001406,               0.001406
                     63,                 1.6664,                 1.8961,                 2.2088,                0.76352,                0.81443,                0.82005,                 0.4879,                 1.3448,                 2.0663,                 2.0877,              0.0013961,              0.0013961,              0.0013961
                     64,                  1.651,                 1.8715,                  2.277,                0.73071,                0.74227,                0.78374,                0.39666,                 1.6249,                 2.1768,                 2.3162,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.8388,                 1.9848,                 2.3244,                0.69176,                0.73196,                0.78488,                0.39228,                 1.6311,                  2.183,                 2.3297,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.5385,                 1.8232,                 2.1415,                0.75909,                0.78351,                0.81424,                0.50402,                 1.2848,                 1.9908,                 2.0416,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.5661,                 1.8332,                 2.2209,                0.78165,                0.76289,                0.79188,                0.54073,                 1.0922,                  1.788,                 1.9549,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.6033,                 1.7337,                 2.2407,                0.80188,                 0.7732,                0.80004,                0.52964,                 1.1332,                 1.8951,                 1.9658,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.4576,                 1.7267,                 2.1042,                0.77246,                0.80496,                0.78912,                0.52537,                 1.1628,                 1.8292,                 2.0139,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.6607,                   1.96,                 2.2327,                0.79324,                 0.8306,                0.79226,                0.48222,                 1.1782,                 1.6231,                 1.9885,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.7174,                 1.8913,                 2.3039,                0.71184,                0.78351,                0.76896,                0.49402,                 1.1985,                 1.7173,                 1.9532,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.5055,                 1.7848,                 2.0828,                0.81569,                0.80412,                0.79885,                0.43736,                 1.3511,                 1.7775,                  2.028,               0.001307,               0.001307,               0.001307
                     73,                 1.5972,                 1.6919,                 2.1941,                0.81141,                0.84536,                0.79821,                0.43772,                 1.3359,                 1.7153,                 1.9859,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.6432,                   1.99,                 2.2156,                0.84751,                0.79381,                0.84268,                0.53002,                 1.1855,                   1.63,                 1.8901,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.6195,                 1.9321,                 2.2498,                 0.8357,                0.74227,                0.85299,                 0.5866,                 1.0353,                 1.4917,                 1.8593,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.4938,                   1.66,                  2.149,                0.66687,                0.82551,                0.72066,                0.46504,                 1.0226,                 1.5966,                 1.8414,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.4572,                 1.6826,                 2.0828,                0.54598,                0.83505,                0.60185,                0.37351,                 1.0757,                 1.7207,                 1.8666,              0.0012575,              0.0012575,              0.0012575
                     78,                  1.444,                 1.5855,                 2.0121,                0.68731,                0.82474,                0.67912,                0.37274,                 1.4311,                 1.8744,                 2.0926,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.4806,                 1.6033,                 2.1038,                0.78577,                0.83192,                0.79564,                0.39082,                 1.5743,                 1.9016,                  2.179,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.4399,                 1.6805,                 2.0919,                0.86896,                0.82042,                 0.8628,                0.42788,                 1.4907,                  1.903,                 2.1222,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.2716,                 1.4947,                  1.951,                0.84782,                0.80412,                0.88345,                0.44783,                 1.4546,                 1.7998,                 2.0743,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.3311,                 1.5876,                 1.9969,                0.66974,                0.85567,                0.82123,                0.50583,                 1.3075,                 1.6684,                 1.9251,               0.001208,               0.001208,               0.001208
                     83,                   1.63,                 1.6723,                 2.1291,                0.82248,                0.72165,                0.80915,                0.54838,                 1.1769,                 1.6261,                 1.9151,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.4943,                 1.6973,                 2.0684,                0.81083,                0.83505,                0.79007,                0.51972,                 1.0908,                 1.5297,                 1.9514,              0.0011882,              0.0011882,              0.0011882
                     85,                  1.279,                 1.3588,                 1.9413,                0.74524,                0.82474,                0.75066,                0.47293,                 1.1488,                 1.5358,                  1.934,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.3863,                 1.4119,                 1.9831,                0.73035,                0.84536,                0.73149,                0.45329,                 1.3001,                 1.6033,                 1.9186,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.2653,                  1.279,                 1.8843,                0.85302,                0.89746,                0.89025,                0.61437,                 1.2317,                 1.4593,                 1.8173,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.2298,                 1.2411,                 1.8441,                0.93565,                0.89946,                0.95187,                0.66531,                 1.0592,                 1.2844,                 1.7849,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.2937,                 1.3033,                  1.879,                0.92653,                0.91005,                0.94685,                0.64979,                 1.0528,                 1.2747,                 1.8651,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.3252,                 1.3876,                 1.9053,                0.86153,                0.89798,                0.90184,                0.63551,                 1.0336,                 1.3122,                 1.8764,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.3593,                 1.3587,                 1.9057,                 0.6955,                0.79381,                0.72653,                0.52899,                  1.019,                  1.472,                 1.7723,              0.0011189,              0.0011189,              0.0011189
                     92,                  1.486,                 1.4258,                 2.0686,                0.73744,                0.86598,                0.73239,                0.51562,                0.97739,                 1.4143,                 1.7073,               0.001109,               0.001109,               0.001109
                     93,                 1.2929,                  1.248,                 1.9594,                0.71636,                 0.8866,                0.73485,                0.49958,                0.95575,                 1.3869,                 1.7213,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.4844,                  1.522,                 1.9964,                0.81565,                0.84536,                0.82641,                0.58571,                 0.9298,                 1.1968,                  1.723,              0.0010892,              0.0010892,              0.0010892
                     95,                  1.214,                 1.2161,                 1.8488,                0.81696,                0.80412,                0.88096,                0.61903,                 1.0205,                 1.2702,                 1.7731,              0.0010793,              0.0010793,              0.0010793
                     96,                  1.196,                 1.1898,                 1.7529,                0.82496,                0.73196,                0.83707,                0.57899,                 1.0806,                 1.3718,                 1.8614,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.1731,                 1.3129,                 1.8778,                0.78089,                0.82474,                0.83428,                0.59357,                 1.0474,                 1.3195,                 1.8871,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.3361,                 1.2183,                 1.8988,                 0.7651,                0.80591,                0.83438,                0.59806,                0.97712,                 1.2321,                 1.9255,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.4955,                 1.4026,                 2.1501,                0.81473,                0.81604,                0.89811,                0.69094,                0.86611,                 1.1187,                 1.7741,              0.0010397,              0.0010397,              0.0010397
